src_ip,dst_ip,protocol,service,flag,duration,bytes,src_port,dst_port,attack_type,is_malware,prior_intrusion,src_os,dst_os,src_country,dst_country,timestamp,username,auth_result,http_method,url_path,http_version,http_response_code,user_agent
148.54.109.168,150.213.177.112,icmp,imap4,S0,2686.98,410684,24693,449,probe,no,yes,MacOS,Linux,RU,JP,2025-05-08T17:11:55.926765,bob,success,POST,/config,HTTP/2,500,Mozilla/5.0
189.21.228.126,14.144.229.243,udp,domain_u,SF,2033.39,852133,9445,9,normal,no,yes,Windows,Linux,KR,US,2025-04-30T10:38:29.926765,charlie,failure,DELETE,/admin,HTTP/2,404,python-requests/2.23.0
67.5.182.11,150.251.156.5,icmp,http,SH,3565.29,210012,60729,867,r2l,yes,yes,Unix,Windows,KR,FR,2025-05-09T05:11:52.926765,bob,failure,OPTIONS,/data,HTTP/1.1,302,curl/7.64.1
32.20.197.194,204.87.171.38,tcp,smtp,SH,482.02,684704,46266,101,u2r,yes,no,MacOS,Windows,IN,FR,2025-05-09T00:51:48.926765,alice,success,POST,/data,HTTP/1.1,403,python-requests/2.23.0
141.70.48.31,147.139.134.149,tcp,http,SF,4905.18,626396,29707,117,probe,yes,no,Unix,Linux,RU,JP,2025-05-17T05:22:05.926765,charlie,success,POST,/home,HTTP/2,500,Mozilla/5.0
102.109.247.44,234.113.93.59,tcp,private,S1,1377.39,97470,56840,512,u2r,no,yes,MacOS,MacOS,DE,JP,2025-05-09T21:43:51.926765,eve,failure,PUT,/config,HTTP/1.1,404,python-requests/2.23.0
170.225.139.220,60.39.78.119,icmp,smtp,S0,3986.96,272335,47967,83,probe,yes,yes,MacOS,Windows,RU,CN,2025-04-24T04:26:18.926765,bob,failure,PUT,/config,HTTP/2,500,Wget/1.20.3
45.173.218.117,234.15.63.254,tcp,pop3,SH,3140.42,514582,32583,417,normal,no,yes,MacOS,Windows,JP,US,2025-05-12T10:08:34.926765,dave,success,POST,/home,HTTP/2,500,python-requests/2.23.0
130.178.111.182,192.113.146.43,udp,private,REJ,3536.61,373312,52861,842,u2r,no,yes,MacOS,Unix,US,RU,2025-05-03T23:13:35.926765,eve,failure,OPTIONS,/upload,HTTP/2,401,curl/7.64.1
134.169.134.248,131.25.241.187,tcp,domain_u,SH,1676.54,773257,57073,544,u2r,yes,no,Linux,Linux,DE,IN,2025-04-29T10:47:16.926765,bob,success,POST,/login,HTTP/1.1,400,PostmanRuntime/7.26.8
44.69.189.211,109.32.57.132,udp,pop3,RSTO,1502.36,776349,20387,818,dos,no,yes,Unix,Windows,BR,BR,2025-05-14T06:41:16.926765,eve,success,POST,/data,HTTP/1.1,401,curl/7.64.1
43.4.97.130,89.191.247.46,icmp,private,RSTO,3933.4,804799,15687,902,r2l,no,no,MacOS,MacOS,KR,IN,2025-04-21T20:44:13.926765,charlie,failure,GET,/upload,HTTP/2,403,PostmanRuntime/7.26.8
240.28.7.252,50.54.13.212,tcp,private,REJ,2772.85,785292,25079,267,r2l,no,no,Windows,MacOS,KR,DE,2025-05-10T11:24:27.926765,guest,failure,HEAD,/upload,HTTP/1.1,301,python-requests/2.23.0
78.246.132.70,25.183.225.13,icmp,ftp,S1,2990.4,896790,14403,741,u2r,no,yes,Linux,Windows,BR,IN,2025-05-01T06:32:36.926765,eve,success,OPTIONS,/config,HTTP/2,403,curl/7.64.1
15.93.39.160,109.40.120.94,icmp,dns,SF,4068.32,499958,27218,283,u2r,no,no,Windows,Linux,US,DE,2025-05-07T21:18:31.926765,dave,success,OPTIONS,/upload,HTTP/1.1,400,PostmanRuntime/7.26.8
178.161.226.77,194.171.11.179,udp,imap4,SH,3826.2,609174,21815,1008,normal,yes,no,MacOS,Linux,JP,FR,2025-04-27T10:04:34.926765,eve,failure,POST,/home,HTTP/2,403,curl/7.64.1
43.239.155.176,60.229.79.23,tcp,smtp,SF,2838.39,365494,7935,951,normal,yes,yes,Unix,Windows,CN,CN,2025-04-17T16:30:31.926765,eve,failure,PUT,/dashboard,HTTP/2,302,Mozilla/5.0
126.158.30.19,42.120.37.156,udp,http,RSTR,4615.26,761268,18677,250,u2r,yes,no,Windows,Windows,CN,JP,2025-05-14T11:09:52.926765,bob,success,HEAD,/data,HTTP/2,403,curl/7.64.1
224.71.242.25,80.131.243.142,icmp,http,S1,4644.74,85353,22708,592,r2l,no,yes,Linux,Unix,IN,JP,2025-04-19T11:29:36.926765,dave,success,PUT,/home,HTTP/2,302,python-requests/2.23.0
160.29.171.183,45.64.119.74,udp,eco_i,REJ,2168.7,844890,4623,684,dos,no,no,Windows,Linux,DE,RU,2025-05-09T21:34:08.926765,eve,failure,POST,/dashboard,HTTP/2,403,python-requests/2.23.0
23.38.241.16,84.183.80.153,udp,ntp_u,REJ,3292.77,42826,25894,380,normal,no,yes,Windows,Windows,RU,BR,2025-05-01T17:30:49.926765,charlie,success,PUT,/upload,HTTP/1.1,401,Wget/1.20.3
221.181.218.11,47.39.242.202,tcp,private,RSTO,3355.32,757102,41101,637,r2l,yes,no,MacOS,Windows,IN,US,2025-04-21T17:47:19.926765,dave,success,PUT,/admin,HTTP/1.1,400,Mozilla/5.0
75.111.178.141,48.167.28.158,tcp,private,REJ,4589.71,880597,61861,90,dos,yes,yes,Linux,Unix,JP,FR,2025-04-19T05:45:32.926765,charlie,success,GET,/upload,HTTP/1.1,200,curl/7.64.1
59.29.173.61,45.64.130.59,udp,dns,REJ,3822.35,604142,4953,621,normal,no,no,Unix,Unix,BR,CN,2025-05-02T13:21:31.926765,admin,success,PUT,/upload,HTTP/1.1,301,Wget/1.20.3
239.141.217.66,45.141.33.4,udp,eco_i,S1,4541.5,760872,39679,973,r2l,no,yes,Windows,Unix,RU,IN,2025-05-05T00:15:38.926765,bob,failure,HEAD,/home,HTTP/1.1,401,curl/7.64.1
159.97.98.246,47.1.229.170,udp,domain_u,RSTR,3938.55,599816,52308,457,probe,no,yes,Unix,Windows,CN,KR,2025-05-09T14:08:11.926765,admin,success,POST,/config,HTTP/2,404,Wget/1.20.3
7.207.219.133,141.187.55.31,tcp,smtp,S0,1063.63,148624,49130,51,normal,no,yes,Unix,Unix,IN,JP,2025-05-09T11:51:22.926765,charlie,failure,HEAD,/admin,HTTP/2,403,Mozilla/5.0
10.95.185.110,234.49.105.68,icmp,dns,S1,220.17,972367,33728,2,dos,yes,yes,Unix,Linux,KR,US,2025-05-16T04:54:11.926765,guest,success,PUT,/home,HTTP/2,302,Mozilla/5.0
104.14.9.177,86.21.5.182,udp,ftp,RSTO,4366.95,904111,48802,264,u2r,no,yes,MacOS,Linux,CN,JP,2025-04-18T06:03:20.926765,bob,failure,DELETE,/home,HTTP/1.1,301,PostmanRuntime/7.26.8
208.6.104.42,59.174.208.37,icmp,smtp,S1,1064.77,783558,16920,684,dos,yes,no,Linux,Unix,JP,DE,2025-05-07T04:19:56.926765,guest,success,HEAD,/dashboard,HTTP/1.1,403,Wget/1.20.3
52.56.204.139,145.212.96.69,icmp,eco_i,RSTO,3296.14,218652,65261,406,normal,yes,no,Linux,MacOS,FR,US,2025-04-18T01:36:28.926765,guest,failure,POST,/dashboard,HTTP/2,500,PostmanRuntime/7.26.8
73.189.253.19,21.214.156.172,udp,ntp_u,RSTR,950.91,793447,53076,590,probe,no,no,Windows,Unix,CN,IN,2025-05-02T11:18:57.926765,bob,failure,HEAD,/config,HTTP/1.1,403,PostmanRuntime/7.26.8
194.131.146.231,16.232.73.182,tcp,ntp_u,S1,3886.11,224013,24328,771,dos,no,yes,Windows,Linux,DE,RU,2025-04-25T18:24:53.926765,charlie,success,POST,/config,HTTP/1.1,401,python-requests/2.23.0
116.250.142.30,221.56.224.27,udp,private,SH,200.09,746782,60870,877,probe,yes,yes,MacOS,Unix,JP,FR,2025-04-24T21:41:43.926765,admin,failure,DELETE,/admin,HTTP/2,302,Wget/1.20.3
201.185.151.5,147.177.179.230,tcp,imap4,REJ,2656.58,954440,21372,641,normal,yes,yes,Unix,Unix,BR,FR,2025-05-12T06:35:35.926765,eve,failure,DELETE,/upload,HTTP/2,200,PostmanRuntime/7.26.8
101.140.88.130,60.136.248.37,udp,ftp,S0,2179.39,486726,56780,813,normal,yes,yes,Linux,Windows,BR,KR,2025-04-29T19:04:33.926765,guest,failure,PUT,/admin,HTTP/1.1,400,python-requests/2.23.0
92.28.58.27,103.137.116.139,udp,imap4,REJ,2410.91,299030,9396,705,probe,yes,yes,MacOS,Unix,CN,JP,2025-04-25T22:53:10.926765,admin,success,OPTIONS,/config,HTTP/2,302,PostmanRuntime/7.26.8
126.236.36.21,222.249.157.3,tcp,ssh,RSTR,372.61,420149,48180,725,probe,no,no,MacOS,Linux,US,CN,2025-05-12T09:35:37.926765,alice,failure,HEAD,/admin,HTTP/1.1,200,curl/7.64.1
47.107.199.195,116.102.147.253,udp,eco_i,SF,1085.42,852771,51705,993,probe,no,yes,Unix,Windows,RU,DE,2025-04-27T16:50:16.926765,bob,failure,PUT,/data,HTTP/1.1,400,Mozilla/5.0
